Lipid_ID,Lipid_class,Bulk_structure,Detailed_structure,Index_Othermode,RT
posFT22091,DG,DG 32:0,DG(16:0_16:0),negFT09996,9.646539307
posFT23689,DG,DG 34:2,"DG(16:0_18:2), DG(16:1_18:1)",negFT10743,8.81984965
posFT23806,DG,DG 34:1,"DG(16:0_18:1), DG(16:1_18:0)",negFT10813,9.90843455
posFT24962,DG,DG 35:1,DG(17:1_18:0),negFT11281,10.66827596
posFT25570,DG,DG 36:4,DG(16:0_20:4),negFT11574,8.660862223
posFT25701,DG,DG 36:3,"DG(16:0_20:3), DG(18:1_18:2)",negFT11654,9.192623901
posFT25987,DG,DG 36:1,DG(18:0_18:1),negFT11797,11.4837204
posFT27466,DG,DG 38:4,DG(18:0_20:4),negFT12623,10.05193532
posFT27749,DG,DG 38:2,DG(18:1_20:1),negFT12790,11.66011658
posFT27750,DG,DG 38:2,DG(18:0_20:2),negFT12791,11.87296092
posFT29449,DG,DG 40:4,DG(18:0_22:4),,11.13751526
posFT29763,DG,DG 40:2,DG(18:1_22:1),negFT13923,13.24442749
posFT30266,SM,SM d34:2,SM(d34:2),negFT15025,5.627783457
posFT31365,SM,SM d35:1,SM(d35:1),negFT15740,6.587821198
posFT32265,SM,SM d36:2,SM(d36:2),negFT16233,6.345553589
posFT32406,SM,SM d36:1,SM(d36:1),negFT16350,7.021833293
posFT40414,SM,SM d43:1,SM(d43:1),negFT20671,11.83885091
posFT27477,Cer,Cer m44:1,Cer(m20:0/24:1),negFT13322,14.17855428
posFT26478,Cer,Cer d42:2,Cer(d18:1/24:1) ,negFT12743,11.56887309
posFT27473,Cer,Cer d43:2,Cer(d18:1/25:1),negFT13317,12.43173116
posFT37705,HexCer,HexCer d41:2,"HexCer(d18:1/23:1), HexCer(d17:1/24:1)",negFT19234,9.324353027
posFT37707,HexCer,HexCer d41:2,HexCer(d18:2/23:0),negFT19235,9.609782918
posFT38867,HexCer,HexCer d42:2,HexCer(d18:1/24:1),negFT19791,10.0102356
posFT38870,HexCer,HexCer d42:2,HexCer(d18:2/24:0),negFT19792,10.37439626
posFT31450,DG,DG 42:4,DG(24:4_18:0),negFT15034,12.49855855
posFT28389,SM,SM d32:1,SM(d32:1),negFT13817,5.510905965
posFT29374,SM,SM d33:1,SM(d33:1),negFT14458,5.82805481
posFT30378,SM,SM d34:1,SM(d34:1),negFT15132,6.180528768
posFT30516,SM,SM d34:0,SM(d34:0),negFT15243,6.420759837
